"sub","countergroup","condition","perf","dvtype","time","intensity","load"
102,"C","pre_passive_2B_RT",735.0638298,"rt","pre","passive","2B"
103,"D","pre_passive_2B_RT",646.5531915,"rt","pre","passive","2B"
104,"A","pre_passive_2B_RT",757.5238095,"rt","pre","passive","2B"
107,"D","pre_passive_2B_RT",723.106383,"rt","pre","passive","2B"
109,"B","pre_passive_2B_RT",747.1904762,"rt","pre","passive","2B"
110,"C","pre_passive_2B_RT",799.9230769,"rt","pre","passive","2B"
112,"D","pre_passive_2B_RT",741.6888889,"rt","pre","passive","2B"
123,"B","pre_passive_2B_RT",813.6818182,"rt","pre","passive","2B"
124,"B","pre_passive_2B_RT",595.1363636,"rt","pre","passive","2B"
125,"C","pre_passive_2B_RT",585.2820513,"rt","pre","passive","2B"
126,"A","pre_passive_2B_RT",729,"rt","pre","passive","2B"
127,"D","pre_passive_2B_RT",1302.795455,"rt","pre","passive","2B"
128,"A","pre_passive_2B_RT",925.2,"rt","pre","passive","2B"
129,"B","pre_passive_2B_RT",689.3428571,"rt","pre","passive","2B"
130,"C","pre_passive_2B_RT",667.3111111,"rt","pre","passive","2B"
100,"A","post_passive_2B_RT",624.1702128,"rt","post","passive","2B"
101,"B","post_passive_2B_RT",680.3829787,"rt","post","passive","2B"
105,"B","post_passive_2B_RT",646.9777778,"rt","post","passive","2B"
106,"C","post_passive_2B_RT",826.1162791,"rt","post","passive","2B"
108,"A","post_passive_2B_RT",799.1538462,"rt","post","passive","2B"
111,"C","post_passive_2B_RT",685.3,"rt","post","passive","2B"
114,"D","post_passive_2B_RT",859.4666667,"rt","post","passive","2B"
115,"B","post_passive_2B_RT",678.7333333,"rt","post","passive","2B"
116,"C","post_passive_2B_RT",612.8297872,"rt","post","passive","2B"
117,"D","post_passive_2B_RT",556.6382979,"rt","post","passive","2B"
102,"C","post_passive_2B_RT",541.1875,"rt","post","passive","2B"
103,"D","post_passive_2B_RT",619.5744681,"rt","post","passive","2B"
104,"A","post_passive_2B_RT",768.7446809,"rt","post","passive","2B"
107,"D","post_passive_2B_RT",598.5434783,"rt","post","passive","2B"
109,"B","post_passive_2B_RT",690.0208333,"rt","post","passive","2B"
110,"C","post_passive_2B_RT",717.7317073,"rt","post","passive","2B"
112,"D","post_passive_2B_RT",668.1489362,"rt","post","passive","2B"
123,"B","post_passive_2B_RT",758,"rt","post","passive","2B"
124,"B","post_passive_2B_RT",618.3863636,"rt","post","passive","2B"
125,"C","post_passive_2B_RT",609.7727273,"rt","post","passive","2B"
126,"A","post_passive_2B_RT",595.7446809,"rt","post","passive","2B"
127,"D","post_passive_2B_RT",1236.533333,"rt","post","passive","2B"
128,"A","post_passive_2B_RT",990.1578947,"rt","post","passive","2B"
129,"B","post_passive_2B_RT",689.3255814,"rt","post","passive","2B"
130,"C","post_passive_2B_RT",670.6136364,"rt","post","passive","2B"
100,"A","pre_active_2B_RT",631.7173913,"rt","pre","active","2B"
