"sub","countergroup","time","intensity","load","dvtype","perf"
107,"D","post","passive","con","rt",381.225
109,"B","post","passive","con","rt",483.2051282
110,"C","post","passive","con","rt",362.7
112,"D","post","passive","con","rt",468.7105263
123,"B","post","passive","con","rt",455.45
124,"B","post","passive","con","rt",433.25
125,"C","post","passive","con","rt",423.6
126,"A","post","passive","con","rt",500.825
127,"D","post","passive","con","rt",423.35
128,"A","post","passive","con","rt",488.025
129,"B","post","passive","con","rt",452.475
130,"C","post","passive","con","rt",413.025
